Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T4-L2-Z22-C1,T4,L2,Z22,6,C1,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C2,T4,L2,Z22,6,C2,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C3,T4,L2,Z22,6,C3,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C4,T4,L2,Z22,6,C4,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C5,T4,L2,Z22,6,C5,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C6,T4,L2,Z22,6,C6,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C7,T4,L2,Z22,6,C7,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C8,T4,L2,Z22,6,C8,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C9,T4,L2,Z22,6,C9,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C10,T4,L2,Z22,6,C10,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C11,T4,L2,Z22,6,C11,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C12,T4,L2,Z22,6,C12,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C13,T4,L2,Z22,6,C13,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C14,T4,L2,Z22,6,C14,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C15,T4,L2,Z22,6,C15,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C16,T4,L2,Z22,6,C16,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C17,T4,L2,Z22,6,C17,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C18,T4,L2,Z22,6,C18,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C19,T4,L2,Z22,6,C19,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C20,T4,L2,Z22,6,C20,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C21,T4,L2,Z22,6,C21,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C22,T4,L2,Z22,6,C22,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C23,T4,L2,Z22,6,C23,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C24,T4,L2,Z22,6,C24,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C25,T4,L2,Z22,6,C25,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z22-C26,T4,L2,Z22,6,C26,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C1,T4,L2,Z23,6,C1,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C2,T4,L2,Z23,6,C2,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C3,T4,L2,Z23,6,C3,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C4,T4,L2,Z23,6,C4,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C5,T4,L2,Z23,6,C5,100%,100%,100%,Column,100%,100%,100%
T4-L2-Z23-C6,T4,L2,Z23,6,C6,100%,100%,100%,Column,100%,100%,100%
